onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
5.9	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
8.59	1.03	targetCS+	place	right	right	0.143	correct
14.24	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
16.92	0.6	targetCS-	object	left	left	0.426	correct
20.45	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
23.13	0.6	targetCS-	object	left	left	0.408	correct
27.33	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
30.01	0.6	targetCS+	object	right	right	0.402	correct
33.54	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
47.26	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
49.95	0.6	targetCS+	object	right	right	0.325	correct
54.14	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
56.83	0.6	targetCS-	place	right	right	0.352	correct
62.03	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
64.71	0.6	targetCS+	object	left	left	0.329	correct
67.9	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
70.59	0.6	targetCS+	object	left	left	0.32	correct
74.11	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
76.8	0.6	targetCS+	place	right	right	0.318	correct
83	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
85.68	0.6	targetCS+	object	left	left	0.343	correct
90.88	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
93.56	0.6	targetCS-	place	left	left	0.443	correct
97.76	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
100.44	0.6	targetCS-	place	right	right	0.293	correct
106.66	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
109.36	0.6	targetCS+	place	left	left	0.691	correct
112.67	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
115.35	0.6	targetCS+	object	right	right	0.307	correct
119.55	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
122.23	0.6	targetCS-	place	right	right	0.324	correct
127.43	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
130.11	0.6	targetCS-	place	left	left	0.288	correct
133.64	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
147.03	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
149.71	0.6	targetCS+	place	left	left	0.409	correct
153.91	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
156.59	0.6	targetCS+	place	left	left	0.331	correct
159.79	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
162.47	0.6	targetCS+	place	right	right	0.332	correct
167.67	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
170.35	0.6	targetCS-	place	left	left	0.338	correct
174.55	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
177.23	0.6	targetCS-	object	right	right	0.344	correct
182.86	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
185.55	0.6	targetCS-	object	right	right	0.359	correct
188.76	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
191.44	0.6	targetCS+	place	left	left	0.325	correct
197.64	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
200.32	0.6	targetCS+	object	right	right	0.395	correct
205.52	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
208.21	0.6	targetCS+	place	right	right	0.321	correct
211.4	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
214.08	0.6	targetCS-	object	right	right	0.306	correct
218.3	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
220.98	0.6	targetCS-	object	right	right	0.319	correct
227.19	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
229.88	0.6	targetCS-	place	left	left	0.429	correct
236.08	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
238.76	0.6	targetCS-	object	left	left	0.343	correct
242.29	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
252.67	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
255.36	0.6	targetCS-	place	right	right	0.503	correct
259.67	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
262.35	0.6	targetCS-	object	left	left	0.416	correct
267.55	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
270.24	0.6	targetCS+	object	left	left	0.379	correct
